;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
97798;4087ebc37a1650dbb5d8205af0850bee74f3784b;Method;0;;;Cyclical Batch Size Schedules;Parameter Re - Initialization through Cyclical Batch Size Schedules;;;Title;0
91710;3b1b94441010615195a5c404409ce2416860508c;Method;0;;;RNN - based VQA approach;Secondly , in this paper we have shown that it is possible to extend the state - of - the - art RNN - based VQA approach so as to incorporate the large volumes of information required to answer general , open - ended , questions about images .;Indeed , at the time of submitting this paper , our image captioning model outperforms the state - of - the - art on several captioning datasets .;The knowledge bases which are currently available do not contain much of the information which would be beneficial to this process , but nonetheless can still be used to significantly improve performance on questions requiring external knowledge ( such as ’;Conclusions;21
79601;33a8d0a35390fde736744d4a0dd20dff7961c777;Method;1;;;capsules;It is inspired by the notion of capsules developed in : capsules are new types of neurons which encapsulate more information in a local pool operation ( e.g. , a convolution operation in a CNN ) by computing a small vector of highly informative outputs rather than just taking a scalar output .;In particular , we propose a new model , referred to as Graph Capsule Convolution Neural Networks ( GCAPS - CNN ) .;Our graph capsule idea is quite general and can be employed in any version of GCNN model either design for solving graph semi - supervised problem or doing sequence learning on graphs via Graph Convolution Recurrent Neural Network models ( GCRNNs ) .;Introduction;1
58404;23c141141f4f63c061d3cce14c71893959af5721;Method;0;;;SPINN model;Though this experiment only covers SPINN - PI - NT , the results should be similar for the full SPINN model : most of the computation involved in running SPINN is involved in populating the buffer , applying the composition function , and manipulating the buffer and the stack , with the low - dimensional tracking and parsing components adding only a small additional load .;With a large but practical batch size of 512 , the largest on which we tested the TreeRNN , our model is about 25 faster than the standard CPU implementation , and about 4 slower than the RNN baseline .;;Inference speed;17
75592;30180f66d5b4b7c0367e4b43e2b55367b72d6d2a;Method;0;;;average fusion;The default strategy is average fusion such that .;We explore strategies based on winner take all ( ) , template weighted fusion ( and an experiment using the SVM geometric margin ( e.g. ) , as suggested in .;Results show that the strategy of computing a weighted average with of probe and gallery templates is the best strategy .;Fusion Study;10
79728;33a8d0a35390fde736744d4a0dd20dff7961c777;Method;1;;;General GCNN Model;General GCNN Model :;When used , we will use to denote the dimension of hidden ( latent ) variables / feature space .;We start by describing a general GCNN model before presenting our Graph Capsule CNN model .;Graph Capsule CNN Model;3
63225;27c761258329eddb90b64d52679ff190cb4527b5;Method;0;;;Recurrent Convolutional Layers;The operations of the Recurrent Convolutional Layers ( RCL ) are performed with respect to the discrete time steps that are expressed according to the RCNN;The recurrent residual convolutional operations can be demonstrated mathematically according to the improved - residual networks in [ reference ] .;[ reference ] . Let 's consider the input sample in the ℎ layer of the residual RCNN ( RRCNN ) block and a pixel located at ( , ) in an input sample on the k th feature map in the RCL .;III . RU - NET AND R2U - NET ARCHITECTURES;4
21831;0c278ecf472f42ec1140ca2f1a0a3dd60cbe5c48;Method;1;;;deep RL algorithm;Finally , we extend these ideas to a deep RL algorithm and show that it achieves state - of - the - art performance in Atari 2600 games .;We use this result to introduce an algorithm that performs as well as some theoretically sample - efficient approaches .;Count - BasedExplorationwiththeSuccessorRepresentation;Title;0
47269;1c0e8c3fb143eb5eb5af3026eae7257255fcf814;Method;0;;;pLSA;[ reference ] propose an iterative technique that applies a latent semantic clustering via latent Semantic Analysis ( pLSA ) on the windows of positive samples and selects the most discriminative cluster for each class based on its classification performance .;Wang et al .;Bilen et al .;Related Work;3
103143;43428880d75b3a14257c3ee9bda054e61eb869c0;Method;1;;;ROUGE - 2;We evaluate on the DUC - 2004 test data comprising 500 article - title pairs [ reference ] and report three variants of recall - based ROUGE [ reference ] , namely , ROUGE - 1 ( unigrams ) , ROUGE - 2 ( bigrams ) , and ROUGE - L ( longest - common substring ) .;We train on the Gigaword corpus [ reference ] and pre - process it identically to [ reference ] resulting in 3.8 M training examples and 190 K for validation .;We also evaluate on a Gigaword test set of 2000 pairs which is identical to the one used by [ reference ] and we report F1 ROUGE similar to prior work .;3;13
104782;44c5dec4d1295d34f052d3243d8e08f14a3c0990;Method;0;;?;vanilla Transformers;Specifically , Transformer - XL significantly outperforms a contemporary method using vanilla Transformers , suggesting the advantage of Transformer - XL is generalizable to modeling short sequences .;Although Transformer - XL is mainly designed to better capture longer - term dependency , it dramatically improves the single - model SoTA from 23.7 to 21.8 .;We also report the results on word - level Penn Treebank in Table [ reference ] .;Main Results;8
101963;42764b57d0794b63487a295ce8c07eeb6961477e;Method;0;;;RoI;For the RoI pooling layer , its inputs are a predicted box and the convolutional feature map , both being functions of .;( [ reference ] ) lies on the spatial transform of a predicted box that determines RoI pooling .;In Fast R - CNN , the box proposals are pre - computed and fixed , and the backpropagation of RoI pooling layer in only involves .;End - to - End Training;7
14864;0891ed6ed64fb461bc03557b28c686f87d880c9a;Method;0;;;aggregating context information;ratinov2009design quantitatively compare several approaches for NER and build their own supervised model using a regularized average perceptron and aggregating context information .;eisenstein2011structured use Bayesian nonparametrics to construct a database of named entities in an almost unsupervised setting .;Finally , there is currently a lot of interest in models for NER that use letter - based representations .;Related Work;19
105818;4543052aeaf52fdb01fced9b3ccf97827582cef5;Method;1;;;quantized DU - Net;By choosing appropriate quantization bit - widths for weights , inputs and gradients , quantized DU - Net achieves 75 % training memory saving with comparable performance .;Different from previous efforts of quantizing only the model parameters , we are the first to quantize their inputs and gradients for better training efficiency on landmark localization tasks .;Exhaustive experiments are performed to validate DU - Net in different aspects .;Introduction;1
93504;3d5d9d8e74b215609eabba80ef79a35ebf460e49;Method;0;;;Cycle / Bicycle;Cycle / Bicycle is trained on pseudo paired data generated by CycleGAN .;Therefore , the variations take place in global color difference .;The quality of the pseudo paired data is not uniformly ideal .;Qualitative Evaluation;8
98525;40b4596a0ae4f4ff065f3f13f36db39543e50068;Method;0;;;semantic segmentation models;Such strategy has also been widely exploited for learning semantic segmentation models .;Our method is motivated by the common practice in computer vision community of initializing network weights using a network pretrained on large - scale image dataset such as ImageNet .;Recall that the original ImageNet model is pretrained on real images , so we propose to employ a distillation loss to guide the semantic segmentation models to behave like the pretrained real style model .;Target Guided Distillation;4
24128;0d0101e65e52ae0cec38bcd13c6a9d631979c577;Method;0;;;ResNet variant;In work subsequent to our own , investigate a ResNet variant with explicit skip connections .;Highway networks srivastava2015highway and ResNet he2015deep , he2016identity offer additional twists in the form of parameterized pass - through and gating .;These methods share distinction as the only other designs demonstrated to scale to hundreds of layers and beyond .;Related Work;2
76283;303fef411f235e6d1125a40af1e93224f498a4d5;Method;0;;;conditional factor;Despite the huge variety of models , as a density estimation problem , language modeling mostly relies on a universal auto - regressive factorization of the joint probability and then models each conditional factor using different approaches .;As a fundamental task in natural language processing , statistical language modeling has gone through significant development from traditional Ngram language models to neural language models in the last decade bengio2003neural , mnih2007three , mikolov2010recurrent .;Specifically , given a corpus of tokens , the joint probability factorizes as where is referred to as the context of the conditional probability hereafter .;Introduction;1
27069;0ee850dd6640a96531ac5ad21da5438db04d8b3c;Method;1;;;supervised neural ranking models;Our findings also suggest that supervised neural ranking models can greatly benefit from pre - training on large amounts of weakly labeled data that can be easily obtained from unsupervised IR models .;Our experiments indicate that employing proper objective functions and letting the networks to learn the input representation based on weakly supervised data leads to impressive performance , with over 13 % and 35 % MAP improvements over the BM25 model on the Robust and the ClueWeb collections .;KEYWORDS Ranking model , weak supervision , deep neural network , deep learning , ad - hoc retrieval;Neural Ranking Models with Weak Supervision;0
13838;07cca2bdd0dc2fee02889e17789748eba9d06ffa;Method;0;;;CDR;"Most of these studies have been carried out in complex urban study areas using either : mobile applications on smart phones ( Manzoni et al . , 2011 ; Stenneth et al . , 2011 ) ; strictly GPS devices alone ( Chung & Shalaby , 2005 ; Liao et al . , 2007 ; Schüssler & Axhausen , 2009 ; Stopher , Clifford et al . , 2008a ; Zheng et al . , 2010 ) or integrated with other devices , such as accelerometers ( Reddy et al . , 2010 ) , or ; others through mobile phone call detail records ( CDR ) ( Wang , Calabrese , Di Lorenzo , & Ratti , 2010 ) .";Limitations of data collection for inferring the transportation mode Over the last decade , a plethora of studies have attempted to infer the transportation mode from GPS data collected by travel surveys .;Such studies resulted in collecting a large amount of diverse data to test different approaches .;Title;0
13004;072fd0b8d471f183da0ca9880379b3bb29031b6a;Method;0;;;commodity tool;Nonetheless , they demonstrate the promise of our approach as a generic commodity tool for image - to - image translation problems .;Note that these applications are creative projects , were not obtained in controlled , scientific conditions , and may rely on some modifications to the pix2pix code we released .;;Community - driven Research;16
70226;2d294bde112b892068636f3a48300b3c033d98da;Method;1;;;left eye model;Moreover , for the right eye cluster , the right eye model improves the accuracy more significantly than the left eye model .;Taking the left eye model as an example , it additionally reduces the errors of landmarks of right eye , mouth , and chin , which is due to the correlations among different facial parts .;It can be concluded that each shape prediction layer emphasizes on the corresponding cluster respectively .;Analysis of Shape Prediction Layers;21
27828;0f0a25d3be0d50a134f6f68e6a82bd8a2f668882;Method;1;;;Art ’ sub - network;For the ‘ Art ’ sub - network , we used a learning rate scaled by a factor of since the base network ( VGG ) is primarily trained for non - Art images .;The same training procedure and hyperparameters as in the baseline were used for training SwiDeN architectures C1 - S , C2 - S … C5 - S ( Section [ reference ] ) with the exception of the the learning rates for the depictive style sub - networks .;The learning rate was stepped down by a factor of when the validation accuracy plateaued .;SwiDeN : training;12
34473;12f008bea798a05ebfa2864ec026999cb375bcd9;Method;1;;;adaptive gradients;We used stochastic gradient descent with ADAM updates for optimization , which combines classical momentum and adaptive gradients kingma2014adam .;Our model was implemented using the Theano 2016arXiv160502688short and Lasagne Python libraries .;The batch size was 32 and the initial learning rate was which was halved every epoch after the second epoch .;Implementation Details;18
19311;0a6d7e8e61c54c796f53120fdb86a25177e00998;Method;0;;;eigen - decomposition;The eigen - decomposition in the complex domain as taught today in linear algebra courses came 40 years later .;In the early age of spectral theory in linear algebra , complex numbers were not used for matrix factorization and mathematicians mostly focused on bi - linear forms .;Similarly , most of the existing approaches for tensor factorization were based on decompositions in the real domain , such as the Canonical Polyadic ( CP ) decomposition .;Related Work;11
72716;2e10643c3759f97b673ff8c297778c0b6c20032b;Method;0;;;large models;All ConvNets in the figure are the large models with thesaurus augmentation respectively .;Each of these plots is computed by taking the difference between errors on comparison model and our character - level ConvNet model , then divided by the comparison model error .;Character - level ConvNet is an effective method .;Discussion;12
42911;18d62040534012818abb90e37eade5dab6dca716;Method;1;;;question generation model;We augment their system by training a discriminative reranker with the model score of the question generation model and the well - formedness probability of our classifier as features to optimize BLEU score between the selected question from the - best list and the reference question on the development set .;Their current best model selects the top ranked question from the - best list produced by the decoder as the output .;We then use this reranker to select the best question from the - best list of the test set .;Improving Question Generation;9
12692;071b16f25117fb6133480c6259227d54fc2a5ea0;Method;1;;;bidirectional recurrent neural network ( BiRNN );First , the forward states of the bidirectional recurrent neural network ( BiRNN ) are computed : where is the word embedding matrix . , are weight matrices .;The model takes a source sentence of 1 - of - K coded word vectors as input and outputs a translated sentence of 1 - of - K coded word vectors where and are the vocabulary sizes of source and target languages , respectively . and respectively denote the lengths of source and target sentences .;and are the word embedding dimensionality and the number of hidden units , respectively .;Encoder;26
55524;2298490e82ff3fd03a3a28bd9c9f307bd897a753;Method;0;;;unit region approximation;An alternative choice is directly using as the measurement of different attributes , but the new problem is can reach to infinite in theory and the unit region approximation can not be implemented .;Note that all the examples with larger than the division point have the same gradient norm , which makes the distinguishing of examples with different attributes impossible if depending on the gradient norm .;To conveniently apply GHM on regression loss , we first modify the traditional loss into a more elegant form : This loss shares similar property with loss :;GHM - R Loss;13
58805;23dcfda130aada27c158c0b5f394cac489c9c795;Method;1;;;multi - loss ResNet50 networks;We present two multi - loss ResNet50 networks with different regression coefficients of and trained on the 300W - LP dataset .;We expect that this gap will be closed when more data is available .;For BIWI we also present a multi - loss ResNet50 ( ) trained on AFLW .;Fine - Grained Pose Estimation on the AFLW2000 and BIWI Datasets;10
82186;35502af359aa60ae8047df172e29503cfb29c3f9;Method;1;;;mean shift module;We can observe that the mean shift module produces sharper distributions , driving the similarity between positive pairs to 1 making it trivial to identify instances .;We plot the distribution of pairwise similarities for positive and negative pairs during forward propagation through 10 iterations .;;Details of Recurrent Mean Shift Grouping;24
49570;1db9bd18681b96473f3c82b21edc9240b44dc329;Method;0;;;training models;Another , popular direction of research in image generation is training models with an adversarial loss gan .;These modifications are readily applicable to our model , which we plan to evaluate in future work .;Typically , in this regime a generator network is trained in opposition to a discriminator network trying to determine if a given image is real or generated .;Background;2
16295;09da677bdbba113374d8fe4bb15ecfbdb4c8fe40;Method;1;;;grouped convolution layer;To enhance the leaning capacity of each micro - block , we use the grouped convolution layer in the second layer as the ResNeXt .;The output of the last convolutional layer is split into two parts : the first part is element - wisely added to the residual path , and the second part is concatenated with the densly connected path .;Considering that the residual networks are more wildly used than the densely connected networks in practice , we choose the residual network as the backbone and add a thin densely connected path to build the dual path network .;Dual Path Networks;6
88242;380b2c78d21ae6c43d418b6f0cb0222d5293d345;Method;0;;;transition - based dependency parser;lstmacl15 presented stack LSTMs and used them to implement a transition - based dependency parser .;;The parser uses a greedy learning strategy which potentially provides very high parsing speed while still achieving state - of - the - art results .;Conclusions;9
107042;45e8ef229fae18b0a2ab328037d8e520866c3c81;Method;1;;;Ours - 29;A larger model with our pyramid module ( Ours - 29 , ×1664d ) achieves test error , which is the state - of - the - art result on CIFAR - 10 .;Our method with similar or less model size ( Ours - 28 - 9 and Ours - 29 , ×864d ×1664d ) achieve better results .;;Experiments on CIFAR - 10 Image Classification;15
15441;08d55271589f989d90a7edce3345f78f2468a7e0;Method;1;;;convolution part;In order to generate a quality score , the convolution part contains a 2 - stride pooling layer and a final pooling layer with kernel size .;[ reference ] , the output spatial of Pool4 layer is .;A fully connected layer is followed by the final pooling layer to generate the original quality score .;Details of quality generation part;7
102104;42e80c73867bff9eaff6beceb8730fc1276283b9;Method;1;;;self - learning;So as to build our initial phrase - table , we follow artetxe2018usmt and learn n - gram embeddings for each language independently , map them to a shared space through self - learning , and use the resulting cross - lingual embeddings to extract and score phrase pairs .;;More concretely , we train our n - gram embeddings using phrase2vechttps: // github.com / artetxem / phrase2vec , a simple extension of skip - gram that applies the standard negative sampling loss of mikolov2013distributed to bigram - context and trigram - context pairs in addition to the usual word - context pairs .;Initial phrase - table;4
75777;302207c149bdf7beb6e46e4d4afbd2fa9ac02c64;Method;1;;;StarGAN;To alleviate this problem , we introduce a mask vector that allows StarGAN to ignore unspecified labels and focus on the explicitly known label provided by a particular dataset .;Mask Vector .;In StarGAN , we use an - dimensional one - hot vector to represent , with being the number of datasets .;Training with Multiple Datasets;5
45542;1abf6491d1b0f6e8af137869a01843931996a562;Method;1;;;FCN - 32s network;We use the FCN - 32s network with the parameters found in PASCAL - Context .;We do not use the geometric categories during training .;Instead of using two stages of learning as done in , we combine the feature directly from different layers for learning .;Combining Local and Global Features;9
63416;27c761258329eddb90b64d52679ff190cb4527b5;Method;1;;;ADAM optimization technique;We used the ADAM optimization technique with a learning rate of 2×10 - 4 and binary cross entropy loss .;In this implementation , this dataset is preprocessed with mean subtraction and normalized according to the standard deviation .;In addition , we also calculated MSE error during the training and validation phase .;4 ) Skin Cancer Lesion Segmentation;13
50544;1e7678467b1807777dcd9be557b79328ce9419a8;Method;1;;?;pooled feature map;Setting this exponent as increases the contrast of the pooled feature map and focuses on the salient features of the image .;Formally , the GeM embedding is given by where is a parameter .;GeM is a generalization of the average pooling commonly used in classification networks ( ) and of spatial max - pooling layer ( ) .;Image retrieval;11
81917;35502af359aa60ae8047df172e29503cfb29c3f9;Method;0;;;Hough voting;predict an embedding based on scene depth and direction towards the instance center ( like Hough voting ) .;train a regressor that predicts the distance to the contour centerline for boundary detection , while predict the distance transform of the instance masks which is then post - processed with watershed transform to generate segments .;Finally , we note that these ideas are related to work on using embedding for solving pairwise clustering problems .;Related Work;2
103887;435259c5f3cffd75ef837a8e638cc8f6244e25c4;Method;1;;;ITK - SNAP;Geometric defects were also removed with the help of surface rendering , using ITK - SNAP .;Based on this initial automatic segmentation , manual editing was then performed by an experienced neuro - radiologist , to correct segmentation errors in both T1 - and T2 - weighted MR images .;For example , if a hole / handle was found on the surface , the neuro - radiologist first localized the related slices and then checked the segmentation maps of both T1w and T2w images , in order to determine whether to fill the hole or cut the handle .;Ground truth generation;12
81034;34cf90fcbf83025666c5c86ec30ac58b632b27b0;Method;1;;;Deep Learning Architecture;: For the CUHK03 dataset , we compare our method with many existing approaches , including Filter Pair Neural Networks ( FPNN ) , Improved Deep Learning Architecture ( IDLA ) , Cross - view Quadratic Discriminant Analysis ( XQDA ) , PSD constrained asymmetric metric learning ( denoted as MLAPG ) , Sample - Specific SVM ( SS ) , Single image and Cross image representation ( SI - CI ) , Embedding Deep Metric ( EDM ) , Domain Guided Dropout ( DGD ) , DNS , S - LSTM and Gate - SCNN .;CUHK03;On this dataset , we conduct experiments on both the detected and the labeled datasets .;Comparison with State - of - the - art Methods;11
64188;28703eef8fe505e8bd592ced3ce52a597097b031;Method;1;;;LSTM layers;For all word - ordering experiments we use 2 - layer encoder and decoder LSTMs , each with 256 hidden units , and dropout with a rate of 0.2 between LSTM layers .;For experiments , we use the same PTB dataset ( with the standard training , development , and test splits ) and evaluation procedure as in zhang15discriminative and later work , with performance reported in terms of BLEU score with the correctly ordered sentences .;We use simple 0 / 1 costs in defining the function .;Word Ordering;12
54058;218b80da3eb15ae35267d280dcc4a806d515334a;Method;1;;;multi - round model inference;The characteristic allows us to edit a sentence more than once through multi - round model inference , which motivates our fluency boost inference .;Fortunately , neural GEC is different from NMT : its source and target language are the same .;As Figure [ reference ] ( b ) shows , fluency boost inference allows a sentence to be incrementally edited through multi - round seq2seq inference as long as the sentence ’s fluency can be improved .;Multi - round error correction;9
92994;3d18ce183b5a5b4dcaa1216e30b774ef49eaa46f;Method;0;;;regression based 3DMM fitting;Recently , regression based 3DMM fitting , which estimates the model parameters by regressing the features at landmark positions , has been proposed to improve the efficiency .;3DMM can cover arbitrary poses but suffers from the one - minute - per - image computation cost .;However , since the features at landmarks may be self - occluded as in 2D methods , the fitting algorithm is no longer pose - invariant and suffers from the three problems in Section [ reference ] .;Related Works;2
29551;0fbd17a4f791e04bbf8f240f7c48c178900e30a6;Method;0;;;SPPN ) method;( SPPN ) method per person to get the final pose predictions .;Top - down methods first detect people ( typically using a top performing , off - the - shelf object detector ) and then run a single person pose estimation;Since a SPPN model is run for each person instance , top - down methods are extremely slow , however , each pose estimator can focus on an instance and perform fine localization .;Top - down;6
81220;34f63959ea4a13a05948274a1558c6854a051150;Method;1;;;pre - trained model;To apply a pre - trained model to specific NLU tasks , we often need to fine - tune , for each task , the model with additional task - specific layers using task - specific training data .;For example , BERT is based on a multi - layer bidirectional Transformer , and is trained on plain text for masked word prediction and next sentence prediction tasks .;For example , bert2018 shows that BERT can be fine - tuned this way to create state - of - the - art models for a range of NLU tasks , such as question answering and natural language inference .;Introduction;1
22067;0c278ecf472f42ec1140ca2f1a0a3dd60cbe5c48;Method;1;;;pseudo - count based methods;DQN + SR , when using the - norm of the SR , exhibits performance comparable to pseudo - count based methods , despite not being the best results we obtained .;These results also support the claim that the norm of the SR can be used to generate exploration bonuses .;We also revisited the results presented in Section [ reference ] to evaluate the impact of the different norms in Sarsa + SR .;On the Mismatch between the Used Norms;14
40508;16cd50316e41cbb1d9dfeafeb524b31654cef37a;Method;1;;;convolutional neural net ( CNN ) and long - short - term memory ( LSTM ) models;Section [ reference ] describes the convolutional neural net ( CNN ) and long - short - term memory ( LSTM ) models .;Section [ reference ] describes our measurement of human performance .;Section [ reference ] describes our implementation of i - vector adaptation .;Introduction;1
55739;22aab110058ebbd198edb1f1e7b4f69fb13c0613;Method;0;;;high - resolution GANs;karras2018progan trains high - resolution GANs in the single - class setting by training a single model across a sequence of increasing resolutions .;ProGAN;In conditional GANs mirza2014conditional class information can be fed into the model in various ways .;Background;2
57207;2329a46590b2036d508097143e65c1b77e571e8c;Method;0;;;open source speech recognition software;That system was built using Kaldi , state - of - the - art open source speech recognition software .;( DNN - HMM FSH ) achieves 19.9 % WER when trained on the Fisher 2000 hour corpus .;We include this result to demonstrate that Deep Speech , when trained on a comparable amount of data is competitive with the best existing ASR systems .;Conversational speech : Switchboard Hub5’00 ( full );13
13266;074b6fe0cc6848fb86a6703d1c52074494177c79;Method;1;;;weak classification model;Our modified version , which uses the source labels to train a weak classification model which can be used to enforce semantic consistency before and after translation , resolves this issue and produces strong performance .;However , the MNIST - like image has mismatched semantics .;Ablation : No Cycle Consistency .;Digit Adaptation;5
5295;02e85d62fbd8249a046d00ac10e39546511b2a51;Method;0;;;3D version;This allows developing 2D variants with increased width , depth and size of training batch with similar requirements as the 3D version , which are valid candidates for model selection in practical scenarios .;so does the memory required .;We assess various configurations and present some representatives in Table [ reference ] along with their performance .;Processing 3D in comparison to 2D Context;15
15420;08d55271589f989d90a7edce3345f78f2468a7e0;Method;1;;;propagation process;The gradients back propagated through set pooling unit can be formulated as follows , So we can formulate propagation process of the final loss as Where is the dimension of images ’ representation .;Keeping this in mind , we consider the set pooling operation .;We discuss how a quality score is automatically learned by this back propagation process .;Training QAN without quality supervision;5
38087;15cc54ed7b1582b2efd71bedf28b23634d82991b;Method;1;;;spectral normalization;We propose a generalized power iteration method to directly estimate the spectral norm of a convolution kernel ( see Appendix [ reference ] for details ) and applied spectral normalization to the discriminator in all experiments .;However , to estimate the spectral norm of a convolution kernel , reshaped the kernel into a matrix .;In Appendix [ reference ] , we explore using gradient penalty to impose the Lipschitz constraint ( ) for the proposed repulsive loss .;Spectral Normalization in Discriminator;6
98248;40b0fced8bc45f548ca7f79922e62478d2043220;Method;1;;;HOGgles;In Figure [ reference ] , we perform a nonparametric reconstruction of images from features in the spirit of HOGgles .;, we provide a novel visual investigation of the effective pooling regions of convnet features .;Rather than paired dictionary learning , however , we simply replace patches with averages of their top - nearest neighbors in a convnet feature space .;Feature visualization;7
59807;2451db113552afb6d9ad15ef4009ec4133d28f74;Method;1;;;Newton - Schulz iterations;In the first part of experiments , we analyze , with AlexNet architecture , the design choices of our iSQRT - COV method , including the number of Newton - Schulz iterations , time and memory usage , and behaviors of different pre - normalization methods .;;We select AlexNet because it runs faster with shallower depth , and the results can extrapolate to deeper networks which mostly follow its architecture design .;Evaluation with AlexNet on ImageNet;14
65132;29c19276b8fff231717c3e342cb24144d2b77726;Method;1;;;mean log frequency;Figure [ reference ] shows absolute improvements in accuracy of bi - LSTM over mean log frequency , for different language families .;In order to evaluate the effect of modeling sub - token information , we examine accuracy rates at different frequency rates .;We see that especially for Slavic and non - Indoeuropean languages , having high morphologic complexity , most of the improvement is obtained in the Zipfian tail .;Rare words;8
39888;165ef2b5f86b9b2c68b652391db5ece8c5a0bc7e;Method;0;;;multi - scale and sliding pooling;We start from a baseline setting of our FeatMap - Net ( “ FullyConvNet Baseline ” in the result table ) , for which multi - scale and sliding pooling is removed .;We present the results of adding different components of FeatMap - Net in Table [ reference ] .;This baseline setting is the conventional fully convolution network for segmentation , which can be considered as our implementation of the FCN method in .;Component Evaluation;16
30600;100c730003033151c0f78ed1aab23df3e9bd5283;Method;1;;;perplexity;Since is intractable in the NVDM , we use the variational lower bound ( which is an upper bound on perplexity ) to compute the perplexity following mnih2014neural .;In document modelling , perplexity is computed by , where is the number of documents , represents the length of the th document and is the log probability of the words in the document .;While all the baseline models listed in Table [ reference ] apply discrete latent variables , here NVDM employs a continuous stochastic document representation .;Experiments on Document Modelling;7
57551;2393447b8b0b79046afea1c88a8ed3949338949e;Method;1;;?;answer decoder;Also , the ranker shares the question - passages reader with the answer decoder , and this sharing contributed to the improvements over the ranker trained without the answer decoder .;Our ranker improved the initial ranking provided by Bing by a significant margin .;This result is similar to those reported in NishidaSOAT18 .;Does our joint learning improve the passage re - ranking performance ?;40
99850;41b38da2f4137c957537908f9cb70cbd2fac8bc1;Method;0;;;Geometric and appearance - based features;Geometric and appearance - based features are commonly used in facial expression recognition .;As the technology advances , vision systems will be able to sense subtle emotions and sentiments that humans can not .;In this study , we focus on spatial features , which are a type of geometric feature .;Introduction;1
25315;0d5fa5be4bfe085de8f88dbee1c3b2a6e5ab9ee2;Method;1;;;50 + layers;Even for PSPNet with 50 + layers , inference time and memory are 18ms and 0.6 GB for the large images in Cityscapes .;Although the top branch is based on a full segmentation backbone , the input resolution is low , resulting in limited computation .;Because weights and computation ( in 17 layers ) can be shared between low - and medium - branches , only 6ms is spent to construct the fusion map .;Network Architecture;10
70559;2d2a22f1f9eae9188f3d43254daa2d5b7f3a2470;Method;1;;;propagation model;For all the GGS - NNs in this section we used the simpler variant in which and share a single propagation model .;For bAbI task 4 , 15 , 16 , 18 , 19 , we used GG - NN with the size of node vectors set to , , , and respectively .;For shortest path and Eulerian circuit tasks , we used .;More Training Details .;16
5907;03184ac97ebf0724c45a29ab49f2a8ce59ac2de3;Method;1;;;weakly - supervised Word2Vec ( );For our proposed weakly - supervised Word2Vec ( ) , we use the same embedding dimensions as the plain Word2Vec ( ) .;We cross - validate the skip - window size and embedding dimensions .;For BoW , we download the Wikipedia articles that correspond to each class and build the vocabulary by omitting least - and most - frequently occurring words .;Experimental Setting;12
77298;3112d2d95d66b3d54a72c55072647aab937e410e;Method;0;;;bidirectional LSTM model;These vectors are concatenated ( into a vector in R 500 ) and fed into either a convolutional model or a bidirectional LSTM model .;Each model consumes the words in the sentence , which are embedded in R 200 , as well as the distances of each word in the sentence from both the entity - word - span and the number - word - spans ( as described above ) , which are each embedded in R 100 .;The convolutional model uses 600 total filters , with 200 filters for kernels of width 2 , 3 , and 5 , respectively , a ReLU nonlinearity , and maxpooling .;C. Information Extraction Details;18
78617;32a93598e8a338496f04a0ace81b0768c2ef059d;Method;0;;;cutting - edge hardware;The sheer size of the models requires cutting - edge hardware for training and makes using the models on standard setups very challenging .;Zhou2016 obtained state - of - the - art results on English French with a - layer LSTM with units per layer .;This issue of excessively large networks has been observed in several other domains , with much focus on fully - connected and convolutional networks for multi - class classification .;Introduction;1
115;000f90380d768a85e2316225854fc377c079b5c4;Method;0;;;CRFs;Most commonly , conditional random fields ( CRFs ) [ reference ] are applied on the network output;Many approaches apply smoothing operations to the output of a CNN in order to obtain more consistent predictions .;[ reference ][ reference ][ reference ][ reference ][ reference ] . More recently , some papers approximate the mean - field inference of CRFs using specialized network architectures;Related Work;3
35053;13ea9a2ed134a9e238d33024fba34d3dd6a010e0;Method;0;;;feature embedding;To take advantage of both the feature learning and similarity learning , Zheng and Geng combine the contrastive loss and the identification loss to improve the discriminative ability of the learned feature embedding , following the success in face verification .;To deal with spatial misalignment , Zheng propose the PoseBox structure similar to the pictorial structure to learn pose invariant embeddings .;This paper adopts the classification mode , which is shown to produce competitive accuracy without losing efficiency potentials .;Related Work;2
63141;27c761258329eddb90b64d52679ff190cb4527b5;Method;0;;;RNN );The performance of FCN has improved with recurrent neural networks ( RNN ) , which are fine - tuned on very large datasets [ reference ] . Semantic image segmentation with DeepLab is one of the state - of - the - art performing methods;The main drawback of this approach is that a large number of pixel overlap and the same convolutions are performed many times .;[ reference ] . SegNet consists of two parts , one is the encoding network which is a 13 - layer VGG16 network [ reference ] , and the corresponding decoding network uses pixel - wise classification layers .;II . RELATED WORK;3
22471;0c769c19d894e0dbd6eb314781dc1db3c626df57;Method;0;;;sampling strategies;Different sampling strategies could significantly impact the convergence rate and quality , but finding efficient sampling strategies becomes much more difficult as increases .;However , they are not efficient as only several data samples are compared at each time , and there are potential input combinations , where is the number of images .;Another approach is learning to classify identities with the Softmax loss function , which effectively compares all the samples at the same time .;Introduction;1
